time_s,x_m,y_m,yaw_rad,linear_x,angular_z
0.0,0.011000000000000001,0.0,0.0,0.22,0.0
0.05,0.022000000000000002,0.0,0.0,0.22,0.0
0.1,0.033,0.0,0.0,0.22,0.0
0.15,0.044000000000000004,0.0,0.0,0.22,0.0
0.2,0.05500000000000001,0.0,0.0,0.22,0.0
0.25,0.066,0.0,0.0,0.22,0.0
0.3,0.077,0.0,0.0,0.22,0.0
0.35,0.088,0.0,0.0,0.22,0.0
0.4,0.09899999999999999,0.0,0.0,0.22,0.0
0.45,0.10999999999999999,0.0,0.0,0.22,0.0
0.5,0.12099999999999998,0.0,0.0,0.22,0.0
0.55,0.13199999999999998,0.0,0.0,0.22,0.0
0.6,0.143,0.0,0.0,0.22,0.0
0.65,0.154,0.0,0.0,0.22,0.0
0.7,0.165,0.0,0.0,0.22,0.0
0.75,0.17600000000000002,0.0,0.0,0.22,0.0
0.8,0.18700000000000003,0.0,0.0,0.22,0.0
0.85,0.19800000000000004,0.0,0.0,0.22,0.0
0.9,0.20900000000000005,0.0,0.0,0.22,0.0
0.95,0.22000000000000006,0.0,0.0,0.22,0.0
1.0,0.23100000000000007,0.0,0.0,0.22,0.0
1.05,0.24200000000000008,0.0,0.0,0.22,0.0
1.1,0.25300000000000006,0.0,0.0,0.22,0.0
1.15,0.26400000000000007,0.0,0.0,0.22,0.0
1.2,0.2750000000000001,0.0,0.0,0.22,0.0
1.25,0.2860000000000001,0.0,0.0,0.22,0.0
1.3,0.2970000000000001,0.0,0.0,0.22,0.0
1.35,0.3080000000000001,0.0,0.0,0.22,0.0
1.4,0.3190000000000001,0.0,0.0,0.22,0.0
1.45,0.3300000000000001,0.0,0.0,0.22,0.0
1.5,0.34100000000000014,0.0,0.0,0.22,0.0
1.55,0.35200000000000015,0.0,0.0,0.22,0.0
1.6,0.36300000000000016,0.0,0.0,0.22,0.0
1.65,0.37400000000000017,0.0,0.0,0.22,0.0
1.7,0.3850000000000002,0.0,0.0,0.22,0.0
1.75,0.3960000000000002,0.0,0.0,0.22,0.0
1.8,0.4070000000000002,0.0,0.0,0.22,0.0
1.85,0.4180000000000002,0.0,0.0,0.22,0.0
1.9,0.4290000000000002,0.0,0.0,0.22,0.0
1.95,0.4400000000000002,0.0,0.0,0.22,0.0
2.0,0.45100000000000023,0.0,0.0,0.22,0.0
2.05,0.46200000000000024,0.0,0.0,0.22,0.0
2.1,0.47300000000000025,0.0,0.0,0.22,0.0
2.15,0.48400000000000026,0.0,0.0,0.22,0.0
2.2,0.4950000000000003,0.0,0.0,0.22,0.0
2.25,0.5060000000000002,0.0,0.0,0.22,0.0
2.3,0.5060000000000002,0.0,0.07500000000000001,0.0,1.5
2.35,0.5060000000000002,0.0,0.15000000000000002,0.0,1.5
